id;name;price;description;item_size;image;image_content_type
1;despite murky gee;9474.83;geez lightly;M;../fake-data/blob/hipster.png;image/png
2;bah;10406.84;abrogate lest like;XL;../fake-data/blob/hipster.png;image/png
3;evenly;1570.19;feast reveal inasmuch;XL;../fake-data/blob/hipster.png;image/png
4;publicize whenever ah;29448.25;delete cyclamen;XL;../fake-data/blob/hipster.png;image/png
5;ship cleaner;5019.41;lest;XL;../fake-data/blob/hipster.png;image/png
6;beast trim;25234.19;despite watchful;L;../fake-data/blob/hipster.png;image/png
7;firm viciously;5815.27;anenst absent;XXL;../fake-data/blob/hipster.png;image/png
8;failing eminent;31430.78;enzyme heater;M;../fake-data/blob/hipster.png;image/png
9;protein perfume;17204.55;mountain eek geez;XXL;../fake-data/blob/hipster.png;image/png
10;hastily toga;5821.08;beware;XL;../fake-data/blob/hipster.png;image/png
